ID X_IMAGE Y_IMAGE FLUX_ISO FLUX_MAX BACKGROUND A_IMAGE B_IMAGE THETA_IMAGE FLAGS
0 1863.213073 161.290179 266646.000000 255.000000 37.000000 8.222077 11.367817 0.000000 0
1 1866.361625 204.424243 100737.000000 255.000000 37.000000 5.654945 8.422688 0.000000 0
2 1206.745830 208.631440 14809.000000 255.000000 37.000000 2.501479 1.995254 0.000000 0
3 1958.834805 209.094632 11550.000000 255.000000 37.000000 2.274312 1.623318 0.000000 0
4 1868.896151 475.667718 421218.000000 255.000000 37.000000 6.266119 23.759566 0.000000 0
5 1869.848612 558.189135 211140.000000 255.000000 37.000000 6.008374 13.111279 0.000000 0
6 1870.634165 616.372190 140372.000000 255.000000 37.000000 5.270785 10.072605 0.000000 0
7 2390.806842 642.726476 33646.000000 255.000000 37.000000 3.489091 3.069043 0.000000 0
8 771.854405 644.660676 22645.000000 255.000000 37.000000 2.472965 2.938064 0.000000 0
9 1870.447057 688.440944 366246.000000 255.000000 37.000000 5.114046 26.896841 0.000000 0
10 1849.476190 674.968510 1302.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
11 1870.917045 790.217593 314905.000000 255.000000 37.000000 4.875602 24.770718 0.000000 0
12 1876.492574 816.425743 808.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
13 1865.448052 839.525974 924.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
14 1872.431891 872.651825 52893.000000 255.000000 37.000000 3.845655 5.209858 0.000000 0
15 1850.992484 866.997267 2927.000000 255.000000 37.000000 1.000000 1.300887 0.000000 0
16 1871.578685 931.760674 84082.000000 255.000000 37.000000 3.243238 11.282175 0.000000 0
17 1878.584862 941.498853 872.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
18 1623.995393 996.456378 3473.000000 255.000000 37.000000 1.197328 1.581139 0.000000 0
19 1872.488837 1139.511163 851.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
20 1872.151562 1146.410705 20645.000000 255.000000 37.000000 2.839303 2.980184 0.000000 0
21 1871.625614 1167.224660 28492.000000 255.000000 37.000000 2.656892 4.382519 0.000000 0
22 1872.995070 1193.483977 1217.000000 248.000000 37.000000 1.000000 1.000000 0.000000 0
23 1872.292964 1207.824754 12394.000000 255.000000 37.000000 1.796930 2.880558 0.000000 0
24 1871.508870 1222.445565 5750.000000 255.000000 37.000000 1.401075 1.802422 0.000000 0
25 1874.078857 1229.910857 1750.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
26 1872.964840 1235.018097 1934.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
27 1872.537554 1254.460300 932.000000 252.000000 37.000000 1.000000 1.000000 0.000000 0
28 1872.775819 1306.585131 17526.000000 255.000000 37.000000 2.102692 5.156593 0.000000 0
29 1872.517961 1324.446118 863.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
30 1871.783515 1334.668501 9451.000000 255.000000 37.000000 1.685083 2.782130 0.000000 0
31 1871.767450 1353.634342 27564.000000 255.000000 37.000000 2.493113 4.706731 0.000000 0
32 2395.498242 1389.752862 11095.000000 255.000000 37.000000 2.266885 1.677152 0.000000 0
33 774.235664 1403.550902 31040.000000 255.000000 37.000000 2.793591 3.478386 0.000000 0
34 1870.493039 1470.591647 862.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
35 1873.051593 1477.020738 1977.000000 255.000000 37.000000 1.000000 1.000000 0.000000 0
36 1966.644522 1826.935374 13261.000000 255.000000 37.000000 2.649986 1.721020 0.000000 0
37 1213.270932 1836.651019 24818.000000 255.000000 37.000000 2.652610 2.974713 0.000000 0
