ID X_IMAGE Y_IMAGE FLUX_ISO FLUX_MAX BACKGROUND A_IMAGE B_IMAGE THETA_IMAGE FLAGS
0 1207.241177 208.770381 19467.000000 255.000000 36.000000 2.755272 2.505387 0.000000 0
1 1959.310384 209.314721 16602.000000 255.000000 36.000000 2.832282 2.013149 0.000000 0
2 1230.472050 615.525880 966.000000 255.000000 36.000000 1.000000 1.000000 0.000000 0
3 2391.197164 643.016909 42168.000000 255.000000 36.000000 3.876033 3.634477 0.000000 0
4 772.561826 644.839567 29009.000000 255.000000 36.000000 3.005470 3.270800 0.000000 0
5 783.454111 774.605163 3138.000000 255.000000 36.000000 1.083205 1.083205 0.000000 0
6 2395.920248 1390.158003 15987.000000 255.000000 36.000000 2.660742 2.328506 0.000000 0
7 774.795344 1403.682141 37976.000000 255.000000 36.000000 3.218832 3.931006 0.000000 0
8 1037.480682 1481.494318 880.000000 255.000000 36.000000 1.000000 1.000000 0.000000 0
9 1034.562907 1487.289223 1995.000000 255.000000 36.000000 1.024695 1.000000 0.000000 0
10 1967.363591 1827.262448 19863.000000 255.000000 36.000000 3.139635 2.377554 0.000000 0
11 1213.750703 1836.630686 31637.000000 255.000000 36.000000 3.030352 3.466910 0.000000 0
