ID X_IMAGE Y_IMAGE FLUX_ISO FLUX_MAX BACKGROUND A_IMAGE B_IMAGE THETA_IMAGE FLAGS
0 103.363766 106.636234 701.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
1 1802.456110 123.564544 581.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
2 1566.967626 137.931655 278.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
3 1125.444444 155.071429 504.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
4 1771.187500 155.582447 752.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
5 1828.466102 162.533898 590.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
6 1202.441563 190.590827 130842.000000 255.000000 12.000000 8.116313 8.140785 0.000000 0
7 1964.248066 190.457853 112071.000000 255.000000 12.000000 7.533628 7.216058 0.000000 0
8 1449.400000 193.579487 585.000000 241.000000 12.000000 1.000000 1.000000 0.000000 0
9 1194.311856 206.667526 388.000000 230.000000 12.000000 1.000000 1.000000 0.000000 0
10 264.554455 233.471287 505.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
11 2141.348101 306.012658 790.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
12 1713.533217 316.891608 572.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
13 1494.400000 368.503774 530.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
14 1874.454894 406.523992 521.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
15 1679.954545 481.569378 418.000000 228.000000 12.000000 1.000000 1.000000 0.000000 0
16 922.451346 512.544513 483.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
17 1045.414927 527.241214 95318.000000 255.000000 12.000000 6.292479 6.738438 0.000000 0
18 1513.916114 536.969913 85187.000000 255.000000 12.000000 6.436044 6.371325 0.000000 0
19 826.548077 593.817308 624.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
20 766.523909 600.446985 481.000000 226.000000 12.000000 1.000000 1.000000 0.000000 0
21 2393.340928 634.942514 412984.000000 255.000000 12.000000 17.070495 14.429274 0.000000 0
22 761.754894 629.768748 178364.000000 255.000000 12.000000 9.862854 9.869939 0.000000 0
23 796.023744 643.893151 1095.000000 255.000000 12.000000 1.320248 1.000000 0.000000 0
24 2428.529825 646.540351 285.000000 82.000000 12.000000 1.000000 1.000000 0.000000 0
25 1561.498127 661.498127 534.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
26 1144.640343 736.208494 19919.000000 255.000000 12.000000 3.388916 3.710259 0.000000 0
27 1866.937618 731.495274 529.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
28 856.916920 739.109422 987.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
29 1056.309921 747.870206 25371.000000 255.000000 12.000000 4.953421 4.294779 0.000000 0
30 1034.671616 763.421473 1751.000000 255.000000 12.000000 1.279473 1.496057 0.000000 0
31 789.069964 777.248177 107770.000000 255.000000 12.000000 6.562442 6.914553 0.000000 0
32 201.545310 948.545310 629.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
33 1014.809943 970.001357 27276.000000 255.000000 12.000000 4.560951 3.476224 0.000000 0
34 811.712522 972.491374 35067.000000 255.000000 12.000000 4.940394 4.044767 0.000000 0
35 966.234190 996.974567 14548.000000 255.000000 12.000000 2.670447 3.428475 0.000000 0
36 971.359977 1012.535749 15651.000000 255.000000 12.000000 2.530384 3.838093 0.000000 0
37 1015.616185 1010.316763 865.000000 255.000000 12.000000 1.000000 1.118034 0.000000 0
38 1007.182955 1028.549073 9598.000000 255.000000 12.000000 3.887887 3.149116 0.000000 0
39 990.156923 1026.130769 650.000000 254.000000 12.000000 1.000000 1.000000 0.000000 0
40 1896.516934 1030.331551 561.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
41 1015.539095 1046.028807 486.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
42 914.258564 1071.545493 11881.000000 255.000000 12.000000 2.293022 3.368081 0.000000 0
43 1181.303297 1149.334066 455.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
44 786.997664 1260.507220 82205.000000 255.000000 12.000000 6.074575 6.114614 0.000000 0
45 1207.064128 1249.541082 499.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
46 986.489475 1267.428142 30261.000000 255.000000 12.000000 3.718178 4.347268 0.000000 0
47 115.510242 1271.510242 537.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
48 915.235853 1279.753256 13589.000000 255.000000 12.000000 2.345423 4.385185 0.000000 0
49 1660.510791 1300.489209 556.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
50 761.526575 1399.394659 277683.000000 255.000000 12.000000 14.148377 11.817061 0.000000 0
51 2415.256261 1389.628636 122707.000000 255.000000 12.000000 8.016344 7.316139 0.000000 0
52 1352.482505 1377.556169 543.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
53 1170.523166 1399.940154 518.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
54 825.362187 1404.341686 439.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
55 734.230570 1405.730570 386.000000 239.000000 12.000000 1.000000 1.000000 0.000000 0
56 1653.492095 1432.462451 506.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
57 32.942699 1438.506470 541.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
58 1041.501080 1478.930567 127836.000000 255.000000 12.000000 6.811001 7.850285 0.000000 0
59 551.485769 1495.485769 527.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
60 1541.267875 1516.433782 84282.000000 255.000000 12.000000 6.520499 5.796094 0.000000 0
61 1342.296552 1522.637241 725.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
62 1930.427406 1628.427406 613.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
63 1171.544850 1717.455150 602.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
64 679.412027 1725.060134 449.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
65 1208.362590 1843.309931 173855.000000 255.000000 12.000000 9.948401 9.916432 0.000000 0
66 1979.503083 1836.946662 122109.000000 255.000000 12.000000 7.795692 7.508929 0.000000 0
67 631.741899 1871.015642 895.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
68 1706.483146 1874.483146 534.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
69 1371.486547 1929.042601 446.000000 220.000000 12.000000 1.000000 1.000000 0.000000 0
70 1354.496390 1938.503610 554.000000 255.000000 12.000000 1.000000 1.000000 0.000000 0
